trial,subject,cue,association,language,cue-english,association-english,button,reaction-time,N400
0,subject01,zebra,zetel,NL,zebra,couch,0,2.316527,-0.126010842975
1,subject01,zetel,nijlpaard,NL,couch,hippopotamus,0,1.609315,-0.082516353861
2,subject01,giraf,kast,NL,giraffe,closet,0,1.89721,-0.00439096741394
3,subject01,bureau,tijger,NL,desk,tiger,0,1.954107,0.452885016022
4,subject01,tafel,neushoorn,NL,table,rhinoceros,0,1.551968,-0.593083629666
5,subject01,olifant,zetel,NL,elephant,couch,0,1.511119,-0.127490558454
6,subject01,zebra,leeuw,NL,zebra,lion,1,2.015721,-0.267699128397
7,subject01,stoel,tijger,NL,chair,tiger,0,1.757915,0.0787807579939
8,subject01,leeuw,deur,NL,lion,door,0,1.531928,1.12710244599
9,subject01,bureau,olifant,NL,desk,elephant,0,1.525712,1.47229735083
10,subject01,kast,deur,NL,closet,door,1,1.584491,0.533061171052
11,subject01,deur,neushoorn,NL,door,rhinoceros,0,1.434238,-1.48139429949
12,subject01,deur,bureau,NL,door,desk,0,1.638205,1.53700427504
13,subject01,deur,zebra,NL,door,zebra,0,1.597369,0.232401794159
14,subject01,kast,bureau,NL,closet,desk,1,1.455098,0.123983636018
15,subject01,kast,nijlpaard,NL,closet,hippopotamus,0,1.47714,-1.24027941479
16,subject01,neushoorn,tijger,NL,rhinoceros,tiger,1,1.457459,0.763025816393
17,subject01,tijger,deur,NL,tiger,door,0,1.524898,1.7935378663
18,subject01,nijlpaard,leeuw,NL,hippopotamus,lion,1,1.468394,0.134196467226
19,subject01,zetel,kast,NL,couch,closet,0,1.463504,-2.61405655686
20,subject01,stoel,nijlpaard,NL,chair,hippopotamus,0,1.978707,-0.981370228615
21,subject01,neushoorn,zebra,NL,rhinoceros,zebra,1,1.537485,-2.10121691013
22,subject01,zebra,giraf,NL,zebra,giraffe,1,1.654069,1.49000532463
23,subject01,nijlpaard,deur,NL,hippopotamus,door,0,1.436649,-0.473898964136
24,subject01,neushoorn,giraf,NL,rhinoceros,giraffe,1,1.42387,-0.23800155895
25,subject01,bed,olifant,NL,bed,elephant,0,1.460077,0.0194394886585
26,subject01,tafel,zebra,NL,table,zebra,0,1.536549,-0.504363034549
27,subject01,leeuw,nijlpaard,NL,lion,hippopotamus,1,1.412824,-0.281024703357
28,subject01,zetel,bed,NL,couch,bed,1,1.480369,0.266958833695
