word,language,english,length,log_freq,AoA,rt
bed,NL,bed,3.0,4.0209,3.7625,572.72
bureau,NL,desk,6.0,3.4666,6.55555555556,550.97
deur,NL,door,4.0,4.0343,4.44490740741,507.49
giraf,NL,giraffe,5.0,1.5051,5.91141975309,605.22
kast,NL,closet,4.0,3.1189,4.77083333333,515.55
leeuw,NL,lion,5.0,2.8089,5.16054421769,506.71
neushoorn,NL,rhinoceros,9.0,2.0414,6.81111111111,618.59
nijlpaard,NL,hippopotamus,9.0,1.8692,6.54705882353,641.46
olifant,NL,elephant,7.0,2.721,5.075,
stoel,NL,chair,5.0,3.3502,3.94702380952,557.67
tafel,NL,table,5.0,3.5621,4.03416666667,509.55
tijger,NL,tiger,6.0,2.7093,6.20625,594.46
zebra,NL,zebra,5.0,2.1303,6.14814814815,569.44
zetel,NL,couch,5.0,2.1303,4.8725,552.56
lit,FR,bed,3.0,2.27948442903,3.7786429366,606.16
bureau,FR,desk,6.0,2.19501356288,,606.727272727
porte,FR,door,5.0,2.58142623372,4.24694104561,747.628440367
girafe,FR,giraffe,6.0,0.432969290874,,612.25
placard,FR,closet,7.0,1.28465628279,,610.04
lion,FR,lion,4.0,1.16375752398,4.38709677419,616.363636364
rhinocéros,FR,rhinoceros,10.0,0.399673721481,,753.25
hippopotame,FR,hippopotamus,11.0,0.41,,
éléphant,FR,elephant,8.0,1.00732095292,,630.04
chaise,FR,chair,6.0,1.51454775266,4.03114571746,590.75
table,FR,table,5.0,2.04914046316,4.06904761905,571.25
tigre,FR,tiger,5.0,1.04688519084,4.99404761905,631.12
zèbre,FR,zebra,5.0,0.428134794029,7.4149054505,737.36
canapé,FR,couch,6.0,1.24699069924,,715.787234043
